epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.625,0.91163,3.61908,1.41543,0.01744,0.59563,0.07913,0.03657,1.13255,4.05817,1.6035,2.727e-05,2.727e-05,2.727e-05
2,201.384,0.74101,3.53464,1.3284,0.01095,0.50332,0.09439,0.05207,1.07214,4.07642,1.55658,6.23701e-05,6.23701e-05,6.23701e-05
3,285.27,0.61643,3.36743,1.24207,0.00539,0.415,0.02183,0.013,1.03531,4.12797,1.57494,9.60304e-05,9.60304e-05,9.60304e-05
4,366.924,0.59689,3.13754,1.22175,0.00516,0.46933,0.03328,0.01866,1.0879,4.14871,1.64222,0.000128251,0.000128251,0.000128251
5,448.56,0.51878,2.78953,1.14211,0.00524,0.44463,0.0591,0.02082,1.05207,4.17416,1.67049,0.000159031,0.000159031,0.000159031
6,528.489,0.6081,2.53331,1.25234,0.00443,0.45204,0.01817,0.00629,1.22467,4.23545,1.81477,0.000188372,0.000188372,0.000188372
7,610.775,0.61318,2.21515,1.21959,0.00412,0.42735,0.07983,0.02863,1.3928,4.23738,1.9448,0.000216273,0.000216273,0.000216273
8,692.666,0.58351,2.01053,1.20006,0.00468,0.46439,0.02895,0.00966,1.54945,4.26978,2.03326,0.000242734,0.000242734,0.000242734
9,775.082,0.61241,1.89538,1.23646,0.00563,0.37702,0.02526,0.00798,1.47099,4.30842,1.97445,0.000267755,0.000267755,0.000267755
10,858.96,0.54871,1.73466,1.18297,0.00654,0.40171,0.03453,0.0097,1.56803,4.49912,2.2058,0.000291336,0.000291336,0.000291336
11,946.658,0.57898,1.68192,1.21777,0.00506,0.38936,0.0337,0.01066,1.61888,4.3923,2.20523,0.000313478,0.000313478,0.000313478
12,1026.79,0.55713,1.49173,1.17053,0.00448,0.38936,0.01594,0.00581,1.61556,4.51203,2.23479,0.000334179,0.000334179,0.000334179
13,1109.79,0.56913,1.46844,1.19004,0.00454,0.37702,0.03022,0.01429,1.53203,4.38544,2.12073,0.000353441,0.000353441,0.000353441
14,1188.94,0.54493,1.36546,1.1627,0.00332,0.37702,0.01845,0.00889,1.73113,4.56825,2.47269,0.000371263,0.000371263,0.000371263
15,1270.35,0.55744,1.2654,1.14416,0.00315,0.33808,0.05927,0.03595,1.89407,4.39514,2.51353,0.000387645,0.000387645,0.000387645
16,1350.86,0.55138,1.28472,1.15314,0.00523,0.45603,0.05379,0.02711,1.66242,4.43427,2.26997,0.000402587,0.000402587,0.000402587
17,1433.12,0.58234,1.22624,1.18301,0.00554,0.44368,0.027,0.01055,1.51905,4.31391,2.05033,0.000416089,0.000416089,0.000416089
18,1514.9,0.5544,1.22894,1.15133,0.00822,0.43039,0.02565,0.00969,1.5965,4.5525,2.26135,0.000428152,0.000428152,0.000428152
19,1594.2,0.53977,1.20972,1.15556,0.00706,0.33998,0.01064,0.00332,1.73376,4.62487,2.53239,0.000438774,0.000438774,0.000438774
20,1674.71,0.5534,1.19081,1.15445,0.00763,0.4076,0.00887,0.00348,1.62692,4.62859,2.24174,0.000447957,0.000447957,0.000447957
21,1762.93,0.50189,1.0941,1.13034,0.00717,0.3943,0.01344,0.0067,1.62022,4.52455,2.34169,0.0004557,0.0004557,0.0004557
22,1849.84,0.5505,1.13558,1.15252,0.00773,0.41994,0.0099,0.00382,1.57959,4.53509,2.28318,0.000462003,0.000462003,0.000462003
23,1932.48,0.52908,1.09874,1.12233,0.00598,0.30294,0.0232,0.00907,1.66194,4.58571,2.36301,0.000466866,0.000466866,0.000466866
24,2015.23,0.52574,1.03527,1.1322,0.00815,0.35138,0.02082,0.00611,1.74402,4.61754,2.60313,0.000470289,0.000470289,0.000470289
25,2100.07,0.53127,1.05819,1.13508,0.01045,0.44274,0.02185,0.00737,1.68203,4.78868,2.52968,0.000472273,0.000472273,0.000472273
26,2184.14,0.49281,0.98678,1.09237,0.00831,0.43039,0.03424,0.01613,1.68165,4.50298,2.42748,0.000459045,0.000459045,0.000459045
